ntaname,
Borough Park,0.035060976
Murray Hill,0.007708333
East Elmhurst,#N/A
Erasmus,
Hollis,
Homecrest,
Fresh Meadows-Utopia,0.007631579
Longwood,
Midwood,#N/A
St. Albans,0.013103448
Clinton Hill,
Cambria Heights,0.013103448
Starrett City,
Jamaica Estates-Holliswood,
Madison,
Kensington-Ocean Parkway,
Gravesend,
Bensonhurst East,
Williamsburg,0.021058824
Bedford,
Stuyvesant Heights,
Gramercy,0.003333333
Ocean Hill,0.019918033
Crown Heights South,0.019918033
Rugby-Remsen Village,
Allerton-Pelham Gardens,
East Flatbush-Farragut,0.022056075
Bushwick South,0.021058824
Bushwick North,0.021058824
Ridgewood,0.013695652
Ocean Parkway South,
Fort Greene,
Queensbridge-Ravenswood-Long Island City,0.014
West Farms-Bronx River,
Parkchester,#N/A
Soundview-Bruckner,
Glendale,
Van Cortlandt Village,
Pomonok-Flushing Heights-Hillcrest,
Clinton,0.007777778
Queens Village,
Middle Village,
Woodlawn-Wakefield,
Bronxdale,
East New York (Pennsylvania Ave),0.01628866
South Ozone Park,
Bath Beach,
Upper East Side-Carnegie Hill,0.003589744
Bensonhurst West,0.017236842
Maspeth,
College Point,
Rikers Island,
Arden Heights,
North Side-South Side,
Brownsville,
Schuylerville-Throgs Neck-Edgewater Park,
Annadale-Huguenot-Prince's Bay-Eltingville,
Battery Park City-Lower Manhattan,0.003125
Lincoln Square,0.0065
Midtown-Midtown South,0.003125
Prospect Lefferts Gardens-Wingate,
Highbridge,0.015047619
Seagate-Coney Island,0.022162162
Windsor Terrace,
Canarsie,0.012753623
North Riverdale-Fieldston-Riverdale,0.0092
Spuyten Duyvil-Kingsbridge,
Flatbush,0.022056075
Flatlands,0.012753623
Douglas Manor-Douglaston-Little Neck,
Soundview-Castle Hill-Clason Point-Harding Park,
East Village,0.008571429
Park Slope-Gowanus,
Charleston-Richmond Valley-Tottenville,0.007567568
Rossville-Woodrow,
Central Harlem North-Polo Grounds,0.013529412
Yorkville,0.003589744
Auburndale,
East Flushing,0.007708333
Morrisania-Melrose,0.015047619
Marble Hill-Inwood,
Hudson Yards-Chelsea-Flatiron-Union Square,
West Brighton,0.022413793
West Village,0.010714286
Upper West Side,0.0065
Norwood,
Bedford Park-Fordham North,
Fordham South,0.017563025
Mount Hope,
Eastchester-Edenwald-Baychester,
Co-op City,
East Tremont,
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,0.022162162
Grymes Hill-Clifton-Fox Hills,
Rosedale,0.013103448
New Dorp-Midland Beach,
East Williamsburg,0.021058824
Brooklyn Heights-Cobble Hill,0.018055556
Crown Heights North,0.019918033
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.018055556
Georgetown-Marine Park-Bergen Beach-Mill Basin,
Pelham Parkway,
Carroll Gardens-Columbia Street-Red Hook,
Bayside-Bayside Hills,0.005909091
Hamilton Heights,
East Harlem South,0.007878788
Old Astoria,0.014
park-cemetery-etc-Manhattan,#N/A
Steinway,
Williamsbridge-Olinville,
Mariner's Harbor-Arlington-Port Ivory-Graniteville,
Ft. Totten-Bay Terrace-Clearview,
Central Harlem South,0.013529412
East Harlem North,0.007878788
Manhattanville,#N/A
Flushing,0.007708333
Springfield Gardens North,0.013103448
Sunset Park East,0.012065217
Oakland Gardens,
Sunset Park West,0.012065217
Kingsbridge Heights,0.0092
University Heights-Morris Heights,
New Brighton-Silver Lake,#N/A
West New Brighton-New Brighton-St. George,
Kew Gardens Hills,
Corona,0.007708333
North Corona,0.007708333
Crotona Park East,0.013300971
Westerleigh,
Port Richmond,0.022413793
Morningside Heights,0.013529412
Hammels-Arverne-Edgemere,
Lower East Side,0.003125
Brighton Beach,0.022162162
Far Rockaway-Bayswater,0.010869565
Forest Hills,0.013695652
Rego Park,
Melrose South-Mott Haven North,0.012089552
Murray Hill-Kips Bay,0.003333333
Kew Gardens,
Jackson Heights,
Woodside,
East Concourse-Concourse Village,
Briarwood-Jamaica Hills,
Astoria,0.014
Queensboro Hill,
Stuyvesant Town-Cooper Village,0.003333333
SoHo-TriBeCa-Civic Center-Little Italy,0.010714286
Dyker Heights,0.017236842
Greenpoint,0.051428571
Chinatown,0.003125
Claremont-Bathgate,
Belmont,
Washington Heights North,0.008902439
Washington Heights South,0.008902439
Prospect Heights,
Van Nest-Morris Park-Westchester Square,
Westchester-Unionport,
Bay Ridge,0.017236842
New Springville-Bloomfield-Travis,
Ozone Park,
Lindenwood-Howard Beach,
park-cemetery-etc-Brooklyn,
Oakwood-Oakwood Beach,
Great Kills,
Bellerose,
Grasmere-Arrochar-Ft. Wadsworth,
Glen Oaks-Floral Park-New Hyde Park,
Stapleton-Rosebank,0.019047619
South Jamaica,0.017022901
Baisley Park,
Woodhaven,0.013695652
Whitestone,
Turtle Bay-East Midtown,
Laurelton,#N/A
Lenox Hill-Roosevelt Island,0.003589744
Hunters Point-Sunnyside-West Maspeth,
Springfield Gardens South-Brookville,
Airport,
Richmond Hill,0.019636364
Cypress Hills-City Line,
Jamaica,0.017022901
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,
park-cemetery-etc-Queens,
Pelham Bay-Country Club-City Island,0.016936937
park-cemetery-etc-Bronx,
Hunts Point,0.012089552
East New York,0.01628866
Mott Haven-Port Morris,0.012089552
West Concourse,
Elmhurst,
Elmhurst-Maspeth,
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,
Old Town-Dongan Hills-South Beach,0.007567568
park-cemetery-etc-Staten Island,
